Col,Line_loop_en,Crs,MAC_tx_clk,MAC_rx_clk,MRxErr,MCRS,MTxEn,MTxD[0],MTxD[1],MTxD[2],MTxD[3],MTxD[4],MTxD[5],MTxD[6],MTxD[7],Rx_dv,Reset,Rxd[0],Rxd[1],Rxd[2],Rxd[3],Rxd[4],Rxd[5],Rxd[6],Rxd[7],Rx_er,Tx_er,Speed[0],Speed[1],Speed[2],Crs_dl1,Col_dl1,MRxD[0],MRxD[1],MRxD[2],MRxD[3],MRxD[4],MRxD[5],MRxD[6],MRxD[7],MCrs_dv,MTxEn_dl1,MTxD_dl1[0],MTxD_dl1[1],MTxD_dl1[2],MTxD_dl1[3],MTxD_dl1[4],MTxD_dl1[5],MTxD_dl1[6],MTxD_dl1[7],Rx_dv_dl2,Rx_dv_dl1,Rx_odd_data_ptr,Rx_er_dl1,Rxd_dl2[0],Rxd_dl2[1],Rxd_dl2[2],Rxd_dl2[3],Rxd_dl2[4],Rxd_dl2[5],Rxd_dl2[6],Rxd_dl2[7],Rxd_dl1[0],Rxd_dl1[1],Rxd_dl1[2],Rxd_dl1[3],Rxd_dl1[4],Rxd_dl1[5],Rxd_dl1[6],Rxd_dl1[7],Tx_odd_data_ptr,Tx_en,Txd[0],Txd[1],Txd[2],Txd[3],Txd[4],Txd[5],Txd[6],Txd[7],[1]Col,[1]Line_loop_en,[1]Crs,[1]MAC_tx_clk,[1]MAC_rx_clk,[1]MRxErr,[1]MCRS,[1]MTxEn,[1]MTxD[0],[1]MTxD[1],[1]MTxD[2],[1]MTxD[3],[1]MTxD[4],[1]MTxD[5],[1]MTxD[6],[1]MTxD[7],[1]Rx_dv,[1]Reset,[1]Rxd[0],[1]Rxd[1],[1]Rxd[2],[1]Rxd[3],[1]Rxd[4],[1]Rxd[5],[1]Rxd[6],[1]Rxd[7],[1]Rx_er,[1]Tx_er,[1]Speed[0],[1]Speed[1],[1]Speed[2],[1]Crs_dl1,[1]Col_dl1,[1]MRxD[0],[1]MRxD[1],[1]MRxD[2],[1]MRxD[3],[1]MRxD[4],[1]MRxD[5],[1]MRxD[6],[1]MRxD[7],[1]MCrs_dv,[1]MTxEn_dl1,[1]MTxD_dl1[0],[1]MTxD_dl1[1],[1]MTxD_dl1[2],[1]MTxD_dl1[3],[1]MTxD_dl1[4],[1]MTxD_dl1[5],[1]MTxD_dl1[6],[1]MTxD_dl1[7],[1]Rx_dv_dl2,[1]Rx_dv_dl1,[1]Rx_odd_data_ptr,[1]Rx_er_dl1,[1]Rxd_dl2[0],[1]Rxd_dl2[1],[1]Rxd_dl2[2],[1]Rxd_dl2[3],[1]Rxd_dl2[4],[1]Rxd_dl2[5],[1]Rxd_dl2[6],[1]Rxd_dl2[7],[1]Rxd_dl1[0],[1]Rxd_dl1[1],[1]Rxd_dl1[2],[1]Rxd_dl1[3],[1]Rxd_dl1[4],[1]Rxd_dl1[5],[1]Rxd_dl1[6],[1]Rxd_dl1[7],[1]Tx_odd_data_ptr,[1]Tx_en,[1]Txd[0],[1]Txd[1],[1]Txd[2],[1]Txd[3],[1]Txd[4],[1]Txd[5],[1]Txd[6],[1]Txd[7]
1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,2,2,2,2,2,0,1,1,0,0,1,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,1,1,0,0,1,0,0,1,1,0,0,1,2,2,2,2,1,0,1,1,0,0,0,1,1,2,0,0,1,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2
1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,2,2,2,2,2,0,1,1,0,0,1,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2
0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1
0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1
1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1
0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1
0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1
0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,2,2,2,2,2,2,2,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1
0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1
1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1
1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1
0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1
1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1
0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1
